Player	Height	Weight 	Arm length(inch)	Handspan(inch)	40 yd 	vert jump	broad jump	three cone (s) 	20 yd shuffle 	Age 	Bench press	10 yd 	off grade 	rec%	College	drops	pblk	ctc%
Travis Kelce	6050	255	33.75	9.625	4.61	35	124	7.09	4.42	21		1.61			cincinnati			
George Kittle	6040	247	33.125	9.25	4.52	35	132	6.76	4.4		18	1.51	83.1	80.37	iowa st	66.2	74.2	
Mark Andrews 	6050	256	32.5	9.5	4.67	31	113	7.34	4.38	21	17	1.66	77.27	67.23	oklahoma	63.03	68.77	59.1
Dallas Goedert 	6050	256	34	10	4.67	35	121	7.01	4.31	22	23		77.2	59.675	s dakota st 	74.025	71.6	72.7
Pat Friermuth 	6050	251	32.5	9.88	4.77	28	113			21			75.3	63.5	pennst	65.7	61.07	54.7
TJ Hockenson	6050	251	32.25	9.5	4.7	38	123	7.02	4.18	21	17	1.59	82.2	75.8	iowa	82.75	62.1	43.9
David njoku	6040	246	35.25	10	4.64	38	133	6.97	4.34	23	21	1.65	71.15	59.55	miami	62.95	63.3	
Gerald Everett	6030	239	33	8.5	4.62	37.5	126	6.99	4.33	23	22	1.53	80.8	65.2	s alabama	62.85	72.55	
Dalton Schutz	6060	244	31.25	9.5	4.75	32	120	7	4.4		15	1.62	67.43	68.03	stanford	62.2	73.83	40
Average 	6040	249	33.06944444	9.528333333	4.661111111	34.38888889	122.7777778	7.0225	4.345	21.71428571	19	1.595714286	76.80625	67.419375		67.463125	68.4275	54.08
