player	player_id	position	team_name	player_game_count	batted_passes	declined_penalties	franchise_id	grades_pass_rush_defense	hits	hurries	pass_rush_opp	pass_rush_percent	pass_rush_win_rate	pass_rush_wins	penalties	prp	sacks	snap_counts_pass_play	snap_counts_pass_rush	total_pressures	true_pass_set_batted_passes	true_pass_set_grades_pass_rush_defense	true_pass_set_hits	true_pass_set_hurries	true_pass_set_pass_rush_opp	true_pass_set_pass_rush_percent	true_pass_set_pass_rush_win_rate	true_pass_set_pass_rush_wins	true_pass_set_prp	true_pass_set_sacks	true_pass_set_snap_counts_pass_play	true_pass_set_snap_counts_pass_rush	true_pass_set_total_pressures 
Jose Ramirez	56323	ED	E MICHIGAN	12	1	1	160	90.5	7	33	312	98.8	21.5	67	6	9.6	10	339	335	50	0	91.8	1	19	116	100	31.9	37	14.7	7	127	127	27

CJ Onyechi	58123	ED	COLO STATE	12	0	0	144	89.3	14	33	282	95.8	22	62	3	10.1	5	307	294	52	0	90.6	10	15	109	96.6	33	36	15.1	4	117	113	29

K.J. Henry	76808	ED	CLEMSON	14	5	1	140	84	14	34	359	92	15.9	57	2	8.1	5	413	380	53	3	90.3	10	22	140	92.6	27.1	38	13.6	3	162	150	35

Karl Brooks	76941	ED	BOWL GREEN	13	4	2	122	92	8	49	362	99.2	23.8	86	3	11.2	12	389	386	69	2	91.5	3	30	144	100	35.4	51	17	8	150	150	41

Yasir Abdullah	77100	ED	LOUISVILLE	13	3	1	210	90.8	15	33	288	78.7	21.2	61	4	12.2	11	389	306	59	1	91.4	5	12	96	83.9	33.3	32	17.2	8	124	104	25

Marcus Cushnie	79548	ED	UMASS	12	0	0	216	81.7	8	33	265	99.3	21.5	57	1	10	6	283	281	47	0	86.3	7	23	128	100	32	41	14.8	4	135	135	34

Viliami Fehoko	81376	ED	S JOSE ST	12	3	2	285	90.2	4	50	316	99.4	21.5	68	3	12.3	12	334	332	66	1	90.2	2	31	113	99.2	34.5	39	19.9	6	124	123	39

Tyree Wilson	82432	ED	TEXAS TECH	10	0	0	315	79.9	10	32	242	91.1	22.3	54	3	12	8	282	257	50	0	88.6	4	19	89	89.1	37.1	33	18.5	5	110	98	28

David Perales	87160	ED	FRESNO ST	14	5	1	169	78.1	6	31	358	91.5	16.8	60	5	8.8	13	413	378	50	1	82.3	5	18	134	93.5	26.1	35	15.3	9	153	143	32

Vince Sanford	90952	ED	AIR FORCE	12	1	0	101	75.4	7	22	224	83.9	18.3	41	0	9.6	7	279	234	36	1	83.1	3	14	90	88.7	27.8	25	15	5	106	94	22

Derick Hall	98130	ED	AUBURN	12	0	2	115	82.6	11	28	328	80.6	17.7	58	6	8.4	8	433	349	47	0	82.8	8	17	132	93.9	25.8	34	13.3	5	148	139	30

Zach Harrison	98503	ED	OHIO STATE	13	4	1	260	85.3	3	24	240	97	14.6	35	3	8.1	6	263	255	33	3	91.1	2	13	83	96.7	27.7	23	13.9	4	92	89	19

